ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_601,*C1=CC2C(=O)OC[C@]23CC[C@@H](C)[C@](C)(CCc2cc(O)oc2OC)C3C1,COc1oc(O)cc1CC[C@]1(C)C2CC=CC3C(=O)OC[C@]32CC[C@H]1C,1
BIOFACQUIM_All_frag_602,*C1=CC2C(=O)OC[C@]23CC[C@@H](C)[C@](C)(CCc2cc(OC)oc2O)C3C1,COc1cc(CC[C@]2(C)C3CC=CC4C(=O)OC[C@]43CC[C@H]2C)c(O)o1,1
BIOFACQUIM_All_frag_603,*C1C=C2C(=O)OC[C@]23CC[C@@H](C)[C@](C)(CCc2ccoc2)C3C1,C[C@@H]1CC[C@@]23COC(=O)C2=CCCC3[C@@]1(C)CCc1ccoc1,1
BIOFACQUIM_All_frag_604,*c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,O=c1ccoc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,1
BIOFACQUIM_All_frag_605,*CC=CC(C)c1c(O)cc(C)c(O)c1O,CC=CC(C)c1c(O)cc(C)c(O)c1O,1
BIOFACQUIM_All_frag_606,*C(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,O=CC(Cc1ccccc1)NC(=O)c1ccccc1,1
BIOFACQUIM_All_frag_607,*CC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(C)=O,1
BIOFACQUIM_All_frag_608,*O[C@@H]1CC(O)(C(=O)OC)C[C@@H](OC(=O)C=Cc2ccc(O)c(O)c2)C1O,COC(=O)C1(O)C[C@@H](O)C(O)[C@H](OC(=O)C=Cc2ccc(O)c(O)c2)C1,1
BIOFACQUIM_All_frag_609,*[C@@H]1CC(O)(C(=O)OC)C[C@@H](OC(=O)C=Cc2ccc(O)c(O)c2)C1O,COC(=O)C1(O)CCC(O)[C@H](OC(=O)C=Cc2ccc(O)c(O)c2)C1,1
BIOFACQUIM_All_frag_610,*c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1
BIOFACQUIM_All_frag_611,*c1cc(=O)c2c(O)cc(O)c(*)c2o1,O=c1ccoc2cc(O)cc(O)c12,1
BIOFACQUIM_All_frag_612,*c1cc(=O)c2c(O)cc(O)c(-c3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O)c2o1,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)ccoc34)c2)oc2cc(O)cc(O)c12,1
BIOFACQUIM_All_frag_613,*c1ccc(O)c(-c2c(O)cc(O)c3c(=O)cc(*)oc23)c1,O=c1ccoc2c(-c3ccccc3O)c(O)cc(O)c12,1
BIOFACQUIM_All_frag_614,*c1ccc(O)c(-c2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)c1,O=c1cc(-c2ccc(O)cc2)oc2c(-c3ccccc3O)c(O)cc(O)c12,1
BIOFACQUIM_All_frag_615,*c1cc(=O)c2c(O)c(-c3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O)c(O)cc2o1,O=c1cc(-c2ccc(O)c(-c3c(O)cc4occc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,1
BIOFACQUIM_All_frag_616,*c1ccc(O)c(-c2c(O)cc3oc(*)cc(=O)c3c2O)c1,O=c1ccoc2cc(O)c(-c3ccccc3O)c(O)c12,1
BIOFACQUIM_All_frag_617,*c1ccc(O)c(-c2c(O)cc3oc(-c4ccc(O)cc4)cc(=O)c3c2O)c1,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(-c3ccccc3O)c(O)c12,1
BIOFACQUIM_All_frag_618,*c1cc(=O)c2c(O)c(-c3cc(C4CC(=O)c5c(O)cc(O)cc5O4)ccc3O)c(O)cc2o1,O=C1CC(c2ccc(O)c(-c3c(O)cc4occc(=O)c4c3O)c2)Oc2cc(O)cc(O)c21,1
BIOFACQUIM_All_frag_619,*c1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1
BIOFACQUIM_All_frag_620,*CC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(C)=O,1
BIOFACQUIM_All_frag_621,*CCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCC,1
BIOFACQUIM_All_frag_622,*OCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCO,1
BIOFACQUIM_All_frag_623,*CC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(C)=O,1
BIOFACQUIM_All_frag_624,*CCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,1
BIOFACQUIM_All_frag_625,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,1
BIOFACQUIM_All_frag_626,*[C@@H]1CC(O)(C(=O)OC)C[C@@H](*)C1O,COC(=O)C1(O)CCC(O)CC1,1
BIOFACQUIM_All_frag_627,*O[C@@H]1CC(O)(C(=O)OC)C[C@@H](O*)C1O,COC(=O)C1(O)C[C@@H](O)C(O)[C@H](O)C1,1
BIOFACQUIM_All_frag_628,*C[C@H](Cc1ccccc1)N*,C[C@@H](N)Cc1ccccc1,1
BIOFACQUIM_All_frag_629,*O[C@@H]1CC(O)(C(=O)OC)C[C@@H](*)C1O,COC(=O)C1(O)CCC(O)[C@H](O)C1,1
BIOFACQUIM_All_frag_630,*C[C@H](Cc1ccccc1)NC(=O)c1ccccc1,C[C@H](Cc1ccccc1)NC(=O)c1ccccc1,1
BIOFACQUIM_All_frag_631,*NC(Cc1ccccc1)C(*)=O,NC(C=O)Cc1ccccc1,1
BIOFACQUIM_All_frag_632,*NC(Cc1ccccc1)C(=O)OC[C@H](Cc1ccccc1)N*,NC(Cc1ccccc1)C(=O)OC[C@@H](N)Cc1ccccc1,1
BIOFACQUIM_All_frag_633,*NC(Cc1ccccc1)C(=O)OC[C@H](Cc1ccccc1)NC(=O)c1ccccc1,NC(Cc1ccccc1)C(=O)OC[C@H](Cc1ccccc1)NC(=O)c1ccccc1,1
BIOFACQUIM_All_frag_634,*N[C@H](CO*)Cc1ccccc1,N[C@H](CO)Cc1ccccc1,1
