ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_132,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O*)O[C@H]3O*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_133,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_134,*CCC1CCCCN1C,CCC1CCCCN1C,4
NuBBE_All_frag_135,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3*,C=C/C(C)=C\C[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_136,*C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4
NuBBE_All_frag_137,*C=O,C=O,4
NuBBE_All_frag_138,*c1cc(OC)c(OC)cc1OC,COc1ccc(OC)c(OC)c1,4
NuBBE_All_frag_139,*c1cc(OC(C)=O)c(OC)cc1OC(C)=O,COc1cc(OC(C)=O)ccc1OC(C)=O,4
NuBBE_All_frag_140,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](*)[C@]32[C@@H](*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)CC[C@@]23COCC2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_141,*c1cc(OC)c(OC(C)=O)cc1*,COc1ccccc1OC(C)=O,4
NuBBE_All_frag_142,*c1ccc(O)c(*)c1,Oc1ccccc1,4
NuBBE_All_frag_143,*CCC(*)C,CCCC,4
NuBBE_All_frag_144,*c1cc2c(=O)oc3c(O)c(O)cc4c(=O)oc(c1O)c2c34,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)ccc1c4c23,4
NuBBE_All_frag_145,*c1cc(=O)c2ccc(OC)cc2o1,COc1ccc2c(=O)ccoc2c1,4
NuBBE_All_frag_146,*CC=C,C=CC,4
NuBBE_All_frag_147,*[C@@H]1CC[C@H](CCCCCCCCCCCCC(C)=O)N[C@@H]1C,CC(=O)CCCCCCCCCCCC[C@H]1CCC[C@@H](C)N1,4
NuBBE_All_frag_148,*O[C@@H]1CC[C@H](CCCCCCCCCCCCC(C)=O)N[C@@H]1C,CC(=O)CCCCCCCCCCCC[C@H]1CC[C@@H](O)[C@@H](C)N1,4
NuBBE_All_frag_149,*C(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC=O,4
NuBBE_All_frag_150,*CCCCCCC,CCCCCCC,4
NuBBE_All_frag_151,*CCC=CCC=C,C=CCC=CCC,4
NuBBE_All_frag_152,*[C@@H]1O[C@@H](C)[C@H](O)[C@@H](*)[C@H]1O,C[C@@H]1OC[C@H](O)C[C@H]1O,4
NuBBE_All_frag_153,*CCC=C,C=CCC,4
NuBBE_All_frag_154,*CCC=CCCC,CCC=CCCC,4
NuBBE_All_frag_155,*CCCC1(C)CCc2cc(*)cc(C)c2O1,CCCC1(C)CCc2cccc(C)c2O1,4
NuBBE_All_frag_156,*c1oc2cc(OC)cc(O)c2c(=O)c1OC,COc1cc(O)c2c(=O)c(OC)coc2c1,4
NuBBE_All_frag_157,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_158,*c1coc2cc(O)cc(O)c2c1=O,O=c1ccoc2cc(O)cc(O)c12,4
NuBBE_All_frag_159,*Oc1cc(OC)c(*)cc1*,COc1cccc(O)c1,4
NuBBE_All_frag_160,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_161,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_162,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_163,*O[C@H]1O[C@@H](O*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
